,,,,,pIC50
C1CC1C(=O)NC2=NNC3=CC=CC32,IC50,=,5,nM,8.30102999566398
c1cc(ccc1c2cc3c(cc2Br)c(n[nH]3)C(=O)NC4CC4)O,IC50,=,5,nM,8.30102999566398
CC(C)Oc1ccnc2c1c(c[nH]2)c3ccnc(n3)N,IC50,=,5.1,nM,8.29242982390206
c1cc2c(cc1O)/C(=N/O)/C(=C/3\c4cc(ccc4NC3=O)Cl)/N2,IC50,=,5.27,nM,8.27818938478745
c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3)S(=O)(=O)N,IC50,=,5.4,nM,8.26760624017703
c1ccc(cc1)CNS(=O)(=O)c2ccc(cc2)/N=C/c3c4c(ccc5c4scn5)[nH]c3O,IC50,=,5.6,nM,8.2518119729938
CNS(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,5.6,nM,8.2518119729938
CN(c1ccccn1)S(=O)(=O)c2ccc(cc2)/N=C/c3c4c(ccc5c4scn5)[nH]c3O,IC50,=,5.6,nM,8.2518119729938
CNS(=O)(=O)Cc1ccc(cc1)N=Nc2c3c(ccc4c3scn4)[nH]c2O,IC50,=,5.7,nM,8.24412514432751
CS(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,5.7,nM,8.24412514432751
